region,ISO,month 1  death rate,month 8  death rate,month 9  death rate,month 10  death rate,month 11  death rate,month 12  death rate,death rate 6mo agg
AFG.10.R4231d3df78d3772c,AFG,-0.4816400850849208,-0.5843928236047218,-0.08732652820404366,-0.8185535822456609,-0.9568802838041448,-0.4180053277385294,-3.346798630682021
AFG.10.R7fc4ac9564655b4c,AFG,-1.0165204416809799,-3.6221252776658623,0.38771512035501426,-0.9555056057529017,-2.1121841479574637,-1.5020899828436753,-8.820710335545868
AFG.11.116,AFG,-0.3777487717713731,-0.8037139544172538,-0.47329324018035795,-1.0612980665352394,-0.8255749705974607,-0.5522462735323317,-4.093875277034016
AFG.11.117,AFG,-0.38804265773926333,-0.8764198068480945,-0.4555108120014675,-1.0360638621210176,-0.8438169863240267,-0.575916953291613,-4.175771078325482
AFG.11.124,AFG,-0.6087148731732126,-1.7300829514294938,-0.13866445229701857,-0.5954791446911601,-1.1182360333854817,-0.73882960537259,-4.930007060348957
AFG.11.R888b226f710b3709,AFG,-0.8430212844139259,-3.5208433194699955,-0.02766314213268655,-0.6423126995148252,-1.6957656471406533,-1.421900165328593,-8.151506258000678
AFG.11.R8c077254fc886fac,AFG,-0.09169141449577287,0.434589503140691,-0.2164881882866797,-0.9346630167513876,-0.6552440996548259,-0.13393849332290178,-1.5974357093708769
AFG.11.R95ece0d29da8aba1,AFG,-0.4839955321952915,-0.8627717124725715,-0.5093655471530117,-1.2976595894363208,-1.0934768498737104,-0.7642768807631974,-5.011546111894103
AFG.12.Rc50339f5954ae669,AFG,-0.8030660548426672,-1.0011203783119447,-0.35387905737676695,-1.870116262408213,-0.934161307482799,-1.0879781530032857,-6.050321213425676
AFG.12.Rd2a3753cae07169e,AFG,-0.6072452145249949,-0.6385277527409594,-0.23158426968389098,-1.464033655986292,-0.9548064556299231,-1.0514269970057544,-4.947624345571815
AFG.13.140,AFG,-0.1984628332078403,-1.163594619689357,-1.0930655848290993,-0.34968642939113936,-0.2965110924075115,-0.042324242413940116,-3.1436448019388874
AFG.13.R0d3e2743dd7da761,AFG,-0.15542263603063647,-1.1408688516459005,-0.9183538099550436,-0.3153764875547315,-0.2841157585613192,-0.05266280508026096,-2.8668003488278924
AFG.13.R2fd01f61b0993bc3,AFG,-0.2328669338715122,-1.3010217839982483,-1.223387930729854,-0.38691971473010955,-0.3291260661272966,-0.040068356080130464,-3.513390785537151
AFG.13.Rc172c1175351df3c,AFG,-0.341055197200163,-1.7308450571454879,-1.6055465936682936,-0.5013152609031284,-0.4299651739822641,-0.03255867159763201,-4.6412859544969685
AFG.14.149,AFG,-0.6415485847273488,-0.8716337110291115,-0.08974105812479147,-0.8924575650491348,-1.0915667108768663,-0.7079827381414151,-4.294930367948668
AFG.14.153,AFG,-0.6209850328029981,-0.8339982698349437,-0.08874141613063166,-0.8668279115951564,-1.0462086540965838,-0.6832285718579121,-4.139989856318225
AFG.14.158,AFG,-1.3188129820740369,-3.777916626440135,0.2685081442586977,-0.924823927746267,-2.285122542263453,-1.4641396689513009,-9.502307603216495
AFG.14.160,AFG,-1.1683267496622733,-0.24824395197693122,-0.08933633315026344,-1.2175089663097467,-1.7063676055128092,-0.9202189897231466,-5.3500025963351705
AFG.14.161,AFG,-0.8292079215571084,0.1322867382160579,-0.1341782903471488,-1.1809438787157456,-1.4039687310863742,-0.7029329823010473,-4.118945065791366
AFG.14.R125e4bb8260ea315,AFG,-0.847383089009966,-1.3419739119987555,-0.09037651457223166,-1.1195478840766049,-1.6074118168447864,-0.9693087961439213,-5.976002012646266
AFG.15.167,AFG,-0.3403508873165914,-1.7281053949403733,-1.6031127536442058,-0.5005861001033397,-0.42932216047013205,-0.032606034592276824,-4.63408333106692
AFG.15.R49ce84ced4420d4c,AFG,-0.08845369290372805,-0.07897273273183192,-0.09651339848504821,0.005918917805618421,-0.2345900896994459,-0.0830422376282415,-0.5756532336426772
AFG.15.R9f61a8d4b0fea672,AFG,-0.13375955235469447,-0.3898804741758161,-0.38986431034543295,-0.09019335885285017,-0.27350448085388934,-0.07303973510577091,-1.3502419116884539
AFG.16.R56f62a5b11d7a76e,AFG,-0.37345453100947185,-2.044344754199608,-1.5192148943687782,-0.6774191980721267,-0.60174638835,-0.1266128439132014,-5.342792609913185
