region,ISO,month 1  total deaths,month 8  total deaths,month 9  total deaths,month 10  total deaths,month 11  total deaths,month 12  total deaths,total deaths 6mo agg
AGO.12.109,AGO,-0.9928636590051387,-0.9196899922243722,-0.019932336897063585,-0.26891678963938864,-0.9708285015209873,-1.1688866314121507,-4.341117910699101
AGO.13.110,AGO,-0.4028068065168677,-0.23376889049391578,-0.10498378364313714,-0.1441141800821558,-0.39551348065429776,-0.4969525795526028,-1.778139720942977
AGO.13.111,AGO,-0.31524093844341694,-0.05762720018125858,-0.029992074634976922,-0.047516047140954386,-0.24777714445744925,-0.3919453064669031,-1.0900987113249592
AGO.13.112,AGO,-0.28499568295863864,-0.020567135534902945,0.12095358136026055,-0.007631377547711564,-0.1310079157225339,-0.382720616583545,-0.7059691469870715
AGO.13.113,AGO,-4.398867475405786,-1.0984221322365142,-0.17664619844673635,-1.2005142569356642,-3.8098576954420724,-5.27433256560849,-15.958640324075262
AGO.14.114,AGO,-1.131037567255552,-1.8891750748867837,-1.7254139554468835,-1.1588268838612197,-1.0787096488772427,-0.9999521998870957,-7.983115330214777
AGO.14.115,AGO,-1.227554290615096,-1.6360070812476137,-1.3525107012719269,-0.9498931341995098,-1.0458299830876114,-1.068064770687796,-7.279859961109554
AGO.14.116,AGO,-0.49323204339329213,-0.49976910208331554,-0.24399123743254356,-0.21942155090095525,-0.5323723180293422,-0.603519384630579,-2.5923056364700274
AGO.14.117,AGO,-0.7318119478758901,-0.8729599488852221,-0.6399884239633254,-0.49476811177308644,-0.7454788416389831,-0.7235247006750682,-4.208531974811575
AGO.14.118,AGO,-0.2213418287119188,-0.32107422196902424,-0.1443595527755613,-0.07869473912524214,-0.17157751132036694,-0.1808024503994016,-1.117850304301515
AGO.14.119,AGO,-0.19454129133603063,-0.24613782337118928,-0.15957317738217597,-0.12122030536098166,-0.17507402912582395,-0.16978486445858545,-1.066331491034787
AGO.14.120,AGO,-0.021498775779385363,-0.02647677533515766,0.04737798660608819,0.020738442224859512,-0.009321241558041036,-0.007450687392459895,0.003368948765903752
AGO.14.121,AGO,-0.7288315995301826,-0.7785954950324294,-0.4735193904591398,-0.3457989140963907,-0.7807605518028834,-0.8969711856491892,-4.004477136570215
AGO.14.122,AGO,-11.077943330853207,-12.510189364177746,-9.844458603992281,-8.399061506033773,-10.499366376972702,-9.989965104565009,-62.32098428659472
AGO.14.123,AGO,-0.18792416870591172,-0.2554198231368976,-0.01826960083407979,-0.022129894767126998,-0.13661441953193856,-0.1415669644891835,-0.7619248714651382
AGO.14.124,AGO,-0.177888835146257,-0.41786885991352807,-0.15060416279413738,-0.05875261365116371,-0.16524275350735038,-0.17322507327223577,-1.1435822982846722
AGO.14.125,AGO,-0.3525608625801342,-0.3998519345315195,-0.2600912104259918,-0.2310881003462618,-0.3346534272910324,-0.3271688259671171,-1.9054143611420566
AGO.14.126,AGO,-0.13518895134988138,-0.13251663403644212,-0.009339954966886126,-0.03179764640510187,-0.12341400632975179,-0.14035729600058627,-0.5726144890886495
AGO.14.127,AGO,-0.32184494719505324,-0.2783652493739458,-0.11680477653315825,-0.11526562385291916,-0.3222721166269915,-0.4315857290164375,-1.5861384425985054
AGO.15.128,AGO,-2.044759468205534,1.496767562963394,0.21585772742834997,0.310421037528664,0.3601222010480455,-1.9843569181532736,-1.6459478573903539
AGO.15.129.423,AGO,-0.5870308202735514,0.021854349087034756,-0.026357920817622293,0.011624239318248658,-0.3602406520865076,-0.737275532426677,-1.677426337199075
AGO.15.130.424,AGO,-0.2787356979263524,0.11679589439866339,0.09293400832280566,0.06901428555316129,0.1515988425925947,-0.35182237795557003,-0.2002150450146974
AGO.15.131,AGO,-0.5533683315252251,0.09832667933261824,0.00858816804689286,0.04618648721651759,-0.2873686760215828,-0.6864031586567826,-1.3740388316075618
AGO.15.132.427,AGO,-1.0711664254133322,0.16501107305184304,0.4795909154031608,0.08265644061927997,0.025258066118416092,-1.4127264347326207,-1.731376364953253
AGO.15.133,AGO,-0.27063220663955295,0.11255734089866938,0.07575919192034379,0.03343510297353386,0.11497513406571222,-0.3057595390627023,-0.23966497584399604
AGO.15.134,AGO,-0.1919976904150111,0.0723837639258729,-0.06395405157714856,0.033968402725590055,0.040867886383348685,-0.19830263566399428,-0.30703432462134234
AGO.15.135,AGO,-0.07677680971559347,1.082185970365143,0.02121299766994129,0.6659166971293108,2.437407488645894,0.5352140780115792,4.6651604221062755
AGO.15.136,AGO,-6.371535930284185,-0.7992713931438377,-1.7868049796579628,-0.1660957715073964,-3.5744105853210084,-7.9993934569728555,-20.697512116887246
AGO.16.137,AGO,-1.5088105383840105,-0.6771149371552039,-1.1792184727082031,-0.5140713667052697,-1.1429501654432723,-1.688043778013339,-6.710209258409298
AGO.16.138,AGO,-0.8361105837294522,-0.41958338812895585,-0.9867262955008557,-0.49191510493163143,-0.778513304799274,-1.0751387718126653,-4.587987448902835
